Date,Area,Rainfall_mm
27-12-2024,POONDI,33.57
28-12-2024,POONDI,0.82
29-12-2024,POONDI,26.88
30-12-2024,POONDI,19.0
31-12-2024,POONDI,2.72
01-01-2025,POONDI,0.38
02-01-2025,POONDI,1.68
03-01-2025,POONDI,0.7
04-01-2025,POONDI,5.57
05-01-2025,POONDI,3.42
06-01-2025,POONDI,8.22
07-01-2025,POONDI,0.6
08-01-2025,POONDI,6.99
09-01-2025,POONDI,1.13
10-01-2025,POONDI,0.85
11-01-2025,POONDI,0.1
12-01-2025,POONDI,0.11
13-01-2025,POONDI,2.36
14-01-2025,POONDI,1.22
15-01-2025,POONDI,0.51
16-01-2025,POONDI,1.9
17-01-2025,POONDI,0.58
18-01-2025,POONDI,1.72
19-01-2025,POONDI,0.89
20-01-2025,POONDI,3.47
21-01-2025,POONDI,3.44
22-01-2025,POONDI,1.3
23-01-2025,POONDI,0.86
24-01-2025,POONDI,0.9
25-01-2025,POONDI,3.28
26-01-2025,POONDI,0.8
27-01-2025,POONDI,0.47
28-01-2025,POONDI,0.18
29-01-2025,POONDI,1.26
30-01-2025,POONDI,1.32
31-01-2025,POONDI,3.68
01-02-2025,POONDI,0.5
02-02-2025,POONDI,0.96
03-02-2025,POONDI,3.3
04-02-2025,POONDI,3.47
05-02-2025,POONDI,0.97
06-02-2025,POONDI,1.23
07-02-2025,POONDI,0.72
08-02-2025,POONDI,5.39
09-02-2025,POONDI,0.25
10-02-2025,POONDI,5.43
11-02-2025,POONDI,2.3
12-02-2025,POONDI,1.52
13-02-2025,POONDI,0.07
14-02-2025,POONDI,1.29
15-02-2025,POONDI,1.05
16-02-2025,POONDI,0.35
17-02-2025,POONDI,2.14
18-02-2025,POONDI,7.09
19-02-2025,POONDI,1.65
20-02-2025,POONDI,2.51
21-02-2025,POONDI,0.14
22-02-2025,POONDI,1.08
23-02-2025,POONDI,0.25
24-02-2025,POONDI,1.9
25-02-2025,POONDI,5.58
26-02-2025,POONDI,2.17
27-02-2025,POONDI,0.16
28-02-2025,POONDI,0.88
01-03-2025,POONDI,1.6
02-03-2025,POONDI,1.03
03-03-2025,POONDI,3.59
04-03-2025,POONDI,3.37
05-03-2025,POONDI,1.89
06-03-2025,POONDI,0.94
07-03-2025,POONDI,0.59
08-03-2025,POONDI,0.22
09-03-2025,POONDI,0.88
10-03-2025,POONDI,1.07
11-03-2025,POONDI,2.25
12-03-2025,POONDI,2.15
13-03-2025,POONDI,0.15
14-03-2025,POONDI,1.01
15-03-2025,POONDI,0.4
16-03-2025,POONDI,0.34
17-03-2025,POONDI,3.51
18-03-2025,POONDI,0.09
19-03-2025,POONDI,1.09
20-03-2025,POONDI,0.37
21-03-2025,POONDI,4.23
22-03-2025,POONDI,1.63
23-03-2025,POONDI,0.53
24-03-2025,POONDI,1.4
25-03-2025,POONDI,2.63
26-03-2025,POONDI,6.35
27-03-2025,POONDI,0.5
28-03-2025,POONDI,4.35
29-03-2025,POONDI,5.45
30-03-2025,POONDI,4.96
31-03-2025,POONDI,2.02
01-04-2025,POONDI,1.99
02-04-2025,POONDI,1.03
03-04-2025,POONDI,2.79
04-04-2025,POONDI,1.52
05-04-2025,POONDI,2.26
06-04-2025,POONDI,1.12
07-04-2025,POONDI,2.63
08-04-2025,POONDI,3.48
09-04-2025,POONDI,0.32
10-04-2025,POONDI,3.58
11-04-2025,POONDI,1.55
12-04-2025,POONDI,3.72
13-04-2025,POONDI,1.13
14-04-2025,POONDI,0.95
15-04-2025,POONDI,4.93
16-04-2025,POONDI,0.58
17-04-2025,POONDI,3.72
18-04-2025,POONDI,1.32
19-04-2025,POONDI,1.44
20-04-2025,POONDI,0.74
21-04-2025,POONDI,1.7
22-04-2025,POONDI,0.79
23-04-2025,POONDI,0.08
24-04-2025,POONDI,0.63
25-04-2025,POONDI,0.01
26-04-2025,POONDI,7.67
27-04-2025,POONDI,6.75
28-04-2025,POONDI,1.01
29-04-2025,POONDI,2.61
30-04-2025,POONDI,0.85
01-05-2025,POONDI,2.22
02-05-2025,POONDI,3.27
03-05-2025,POONDI,5.87
04-05-2025,POONDI,1.02
05-05-2025,POONDI,3.06
06-05-2025,POONDI,0.62
07-05-2025,POONDI,9.28
08-05-2025,POONDI,0.05
09-05-2025,POONDI,1.85
10-05-2025,POONDI,2.15
11-05-2025,POONDI,2.33
12-05-2025,POONDI,0.26
13-05-2025,POONDI,5.58
14-05-2025,POONDI,0.4
15-05-2025,POONDI,1.95
16-05-2025,POONDI,0.5
17-05-2025,POONDI,0.73
18-05-2025,POONDI,1.58
19-05-2025,POONDI,1.08
20-05-2025,POONDI,0.35
21-05-2025,POONDI,0.37
22-05-2025,POONDI,1.08
23-05-2025,POONDI,2.83
24-05-2025,POONDI,4.56
25-05-2025,POONDI,0.18
26-05-2025,POONDI,1.0
27-05-2025,POONDI,0.21
28-05-2025,POONDI,0.03
29-05-2025,POONDI,2.17
30-05-2025,POONDI,1.84
31-05-2025,POONDI,0.36
01-06-2025,POONDI,0.53
02-06-2025,POONDI,0.05
03-06-2025,POONDI,3.6
04-06-2025,POONDI,7.35
05-06-2025,POONDI,0.29
06-06-2025,POONDI,0.53
07-06-2025,POONDI,4.06
08-06-2025,POONDI,5.22
09-06-2025,POONDI,1.09
10-06-2025,POONDI,0.1
11-06-2025,POONDI,0.08
12-06-2025,POONDI,1.71
13-06-2025,POONDI,1.0
14-06-2025,POONDI,0.06
15-06-2025,POONDI,1.75
16-06-2025,POONDI,0.02
17-06-2025,POONDI,3.1
18-06-2025,POONDI,0.73
19-06-2025,POONDI,0.08
20-06-2025,POONDI,1.78
21-06-2025,POONDI,1.01
22-06-2025,POONDI,7.28
23-06-2025,POONDI,1.57
24-06-2025,POONDI,0.64
25-06-2025,POONDI,2.47
26-06-2025,POONDI,0.63
27-06-2025,POONDI,4.69
28-06-2025,POONDI,0.94
29-06-2025,POONDI,1.6
30-06-2025,POONDI,0.1
01-07-2025,POONDI,1.11
02-07-2025,POONDI,3.57
03-07-2025,POONDI,3.28
04-07-2025,POONDI,0.51
05-07-2025,POONDI,0.51
06-07-2025,POONDI,3.4
07-07-2025,POONDI,5.33
08-07-2025,POONDI,0.2
09-07-2025,POONDI,1.2
10-07-2025,POONDI,0.82
11-07-2025,POONDI,4.09
12-07-2025,POONDI,0.17
13-07-2025,POONDI,0.47
14-07-2025,POONDI,2.79
15-07-2025,POONDI,0.11
16-07-2025,POONDI,1.36
17-07-2025,POONDI,1.17
18-07-2025,POONDI,0.81
19-07-2025,POONDI,1.0
20-07-2025,POONDI,1.51
21-07-2025,POONDI,0.35
22-07-2025,POONDI,1.7
23-07-2025,POONDI,3.27
24-07-2025,POONDI,2.86
25-07-2025,POONDI,0.33
26-07-2025,POONDI,0.32
27-07-2025,POONDI,0.62
28-07-2025,POONDI,0.9
29-07-2025,POONDI,1.05
30-07-2025,POONDI,2.28
31-07-2025,POONDI,0.12
01-08-2025,POONDI,0.07
02-08-2025,POONDI,0.99
03-08-2025,POONDI,2.39
04-08-2025,POONDI,0.43
05-08-2025,POONDI,2.05
06-08-2025,POONDI,0.6
07-08-2025,POONDI,4.34
08-08-2025,POONDI,4.52
09-08-2025,POONDI,0.71
10-08-2025,POONDI,0.52
11-08-2025,POONDI,1.06
12-08-2025,POONDI,0.55
13-08-2025,POONDI,2.23
14-08-2025,POONDI,3.5
15-08-2025,POONDI,2.24
16-08-2025,POONDI,3.48
17-08-2025,POONDI,1.01
18-08-2025,POONDI,0.34
19-08-2025,POONDI,2.68
20-08-2025,POONDI,0.89
21-08-2025,POONDI,2.23
22-08-2025,POONDI,0.63
23-08-2025,POONDI,0.17
24-08-2025,POONDI,9.81
25-08-2025,POONDI,0.34
26-08-2025,POONDI,8.92
27-08-2025,POONDI,7.57
28-08-2025,POONDI,3.16
29-08-2025,POONDI,2.15
30-08-2025,POONDI,1.72
31-08-2025,POONDI,4.02
01-09-2025,POONDI,0.68
02-09-2025,POONDI,1.26
03-09-2025,POONDI,1.93
04-09-2025,POONDI,1.06
05-09-2025,POONDI,1.12
06-09-2025,POONDI,0.8
07-09-2025,POONDI,1.66
08-09-2025,POONDI,3.8
09-09-2025,POONDI,0.45
10-09-2025,POONDI,5.45
11-09-2025,POONDI,2.34
12-09-2025,POONDI,3.47
13-09-2025,POONDI,1.62
14-09-2025,POONDI,3.02
15-09-2025,POONDI,0.03
16-09-2025,POONDI,3.41
17-09-2025,POONDI,0.08
18-09-2025,POONDI,4.41
19-09-2025,POONDI,9.65
20-09-2025,POONDI,0.7
21-09-2025,POONDI,0.47
22-09-2025,POONDI,2.9
23-09-2025,POONDI,0.58
24-09-2025,POONDI,4.01
25-09-2025,POONDI,0.22
26-09-2025,POONDI,0.27
27-09-2025,POONDI,7.74
28-09-2025,POONDI,2.24
29-09-2025,POONDI,3.75
30-09-2025,POONDI,0.78
01-10-2025,POONDI,28.21
02-10-2025,POONDI,22.55
03-10-2025,POONDI,23.1
04-10-2025,POONDI,28.68
05-10-2025,POONDI,21.41
06-10-2025,POONDI,14.01
07-10-2025,POONDI,8.07
08-10-2025,POONDI,36.59
09-10-2025,POONDI,6.41
10-10-2025,POONDI,29.47
11-10-2025,POONDI,6.64
12-10-2025,POONDI,24.54
13-10-2025,POONDI,34.37
14-10-2025,POONDI,6.17
15-10-2025,POONDI,1.55
16-10-2025,POONDI,3.51
17-10-2025,POONDI,23.28
18-10-2025,POONDI,47.34
19-10-2025,POONDI,1.15
20-10-2025,POONDI,33.12
21-10-2025,POONDI,10.44
22-10-2025,POONDI,16.28
23-10-2025,POONDI,66.08
24-10-2025,POONDI,10.09
25-10-2025,POONDI,15.65
26-10-2025,POONDI,0.34
27-10-2025,POONDI,2.13
28-10-2025,POONDI,7.48
29-10-2025,POONDI,0.71
30-10-2025,POONDI,24.95
31-10-2025,POONDI,13.9
01-11-2025,POONDI,19.86
02-11-2025,POONDI,4.8
03-11-2025,POONDI,8.77
04-11-2025,POONDI,27.25
05-11-2025,POONDI,84.03
06-11-2025,POONDI,1.29
07-11-2025,POONDI,55.27
08-11-2025,POONDI,21.5
09-11-2025,POONDI,20.75
10-11-2025,POONDI,17.34
11-11-2025,POONDI,1.8
12-11-2025,POONDI,2.35
13-11-2025,POONDI,22.96
14-11-2025,POONDI,10.42
15-11-2025,POONDI,62.3
16-11-2025,POONDI,13.05
17-11-2025,POONDI,3.87
18-11-2025,POONDI,31.36
19-11-2025,POONDI,8.68
20-11-2025,POONDI,18.64
21-11-2025,POONDI,29.92
22-11-2025,POONDI,57.63
23-11-2025,POONDI,39.28
24-11-2025,POONDI,28.2
25-11-2025,POONDI,28.46
26-11-2025,POONDI,72.93
27-11-2025,POONDI,8.77
28-11-2025,POONDI,0.03
29-11-2025,POONDI,7.93
30-11-2025,POONDI,6.14
01-12-2025,POONDI,27.11
02-12-2025,POONDI,25.11
03-12-2025,POONDI,22.5
04-12-2025,POONDI,0.41
05-12-2025,POONDI,32.62
06-12-2025,POONDI,9.77
07-12-2025,POONDI,27.34
08-12-2025,POONDI,20.33
09-12-2025,POONDI,10.49
10-12-2025,POONDI,3.61
11-12-2025,POONDI,2.48
12-12-2025,POONDI,44.52
13-12-2025,POONDI,62.65
14-12-2025,POONDI,26.23
15-12-2025,POONDI,2.73
16-12-2025,POONDI,12.86
17-12-2025,POONDI,32.64
18-12-2025,POONDI,37.83
19-12-2025,POONDI,3.15
20-12-2025,POONDI,0.0
21-12-2025,POONDI,31.13
22-12-2025,POONDI,11.02
23-12-2025,POONDI,7.34
24-12-2025,POONDI,0.32
25-12-2025,POONDI,19.43
26-12-2025,POONDI,47.62
27-12-2025,POONDI,79.03
28-12-2025,POONDI,20.85
29-12-2025,POONDI,18.06
30-12-2025,POONDI,2.22
31-12-2025,POONDI,19.9
01-01-2026,POONDI,0.96
02-01-2026,POONDI,1.87
03-01-2026,POONDI,0.98
04-01-2026,POONDI,0.55
05-01-2026,POONDI,0.2
06-01-2026,POONDI,0.76
07-01-2026,POONDI,0.2
08-01-2026,POONDI,0.39
09-01-2026,POONDI,8.74
10-01-2026,POONDI,1.17
11-01-2026,POONDI,1.52
12-01-2026,POONDI,4.14
13-01-2026,POONDI,10.84
14-01-2026,POONDI,1.75
15-01-2026,POONDI,3.35
16-01-2026,POONDI,0.79
17-01-2026,POONDI,0.73
18-01-2026,POONDI,1.03
19-01-2026,POONDI,2.23
20-01-2026,POONDI,2.29
21-01-2026,POONDI,0.76
22-01-2026,POONDI,0.29
23-01-2026,POONDI,2.0
24-01-2026,POONDI,0.27
25-01-2026,POONDI,1.73
26-01-2026,POONDI,2.36
27-01-2026,POONDI,2.41
28-01-2026,POONDI,2.8
29-01-2026,POONDI,4.12
30-01-2026,POONDI,1.39
31-01-2026,POONDI,2.62
01-02-2026,POONDI,1.93
02-02-2026,POONDI,0.41
03-02-2026,POONDI,0.05
04-02-2026,POONDI,0.67
05-02-2026,POONDI,1.17
06-02-2026,POONDI,1.92
07-02-2026,POONDI,3.79
08-02-2026,POONDI,0.44
09-02-2026,POONDI,0.27
10-02-2026,POONDI,6.62
11-02-2026,POONDI,0.23
12-02-2026,POONDI,1.3
13-02-2026,POONDI,1.76
14-02-2026,POONDI,1.56
15-02-2026,POONDI,0.18
16-02-2026,POONDI,0.12
17-02-2026,POONDI,0.22
18-02-2026,POONDI,1.76
19-02-2026,POONDI,1.57
20-02-2026,POONDI,0.53
21-02-2026,POONDI,2.03
22-02-2026,POONDI,3.43
23-02-2026,POONDI,0.08
24-02-2026,POONDI,1.38
25-02-2026,POONDI,2.34
26-02-2026,POONDI,0.58
27-02-2026,POONDI,0.74
28-02-2026,POONDI,1.9
01-03-2026,POONDI,4.56
02-03-2026,POONDI,3.32
03-03-2026,POONDI,1.75
04-03-2026,POONDI,2.62
05-03-2026,POONDI,0.91
06-03-2026,POONDI,2.05
07-03-2026,POONDI,1.26
08-03-2026,POONDI,0.42
09-03-2026,POONDI,2.42
10-03-2026,POONDI,1.63
11-03-2026,POONDI,0.89
12-03-2026,POONDI,4.85
13-03-2026,POONDI,0.04
14-03-2026,POONDI,0.76
15-03-2026,POONDI,0.12
16-03-2026,POONDI,2.91
17-03-2026,POONDI,2.42
18-03-2026,POONDI,0.8
19-03-2026,POONDI,2.25
20-03-2026,POONDI,1.01
21-03-2026,POONDI,2.82
22-03-2026,POONDI,1.21
23-03-2026,POONDI,1.06
24-03-2026,POONDI,5.46
25-03-2026,POONDI,0.58
26-03-2026,POONDI,0.26
27-03-2026,POONDI,1.76
28-03-2026,POONDI,6.97
29-03-2026,POONDI,0.95
30-03-2026,POONDI,0.13
31-03-2026,POONDI,0.83
01-04-2026,POONDI,1.41
02-04-2026,POONDI,0.35
03-04-2026,POONDI,2.15
04-04-2026,POONDI,12.19
05-04-2026,POONDI,1.2
06-04-2026,POONDI,0.88
07-04-2026,POONDI,1.02
08-04-2026,POONDI,0.24
09-04-2026,POONDI,4.3
10-04-2026,POONDI,1.07
11-04-2026,POONDI,0.98
12-04-2026,POONDI,2.16
13-04-2026,POONDI,1.17
14-04-2026,POONDI,2.09
15-04-2026,POONDI,0.13
16-04-2026,POONDI,3.36
17-04-2026,POONDI,5.64
18-04-2026,POONDI,2.09
19-04-2026,POONDI,6.18
20-04-2026,POONDI,0.33
21-04-2026,POONDI,1.3
22-04-2026,POONDI,1.84
23-04-2026,POONDI,1.74
24-04-2026,POONDI,1.03
25-04-2026,POONDI,0.83
26-04-2026,POONDI,0.27
27-04-2026,POONDI,0.99
28-04-2026,POONDI,0.36
29-04-2026,POONDI,2.65
30-04-2026,POONDI,0.47
01-05-2026,POONDI,0.12
02-05-2026,POONDI,1.61
03-05-2026,POONDI,1.81
04-05-2026,POONDI,4.11
05-05-2026,POONDI,1.72
06-05-2026,POONDI,0.85
07-05-2026,POONDI,3.25
08-05-2026,POONDI,1.55
09-05-2026,POONDI,0.17
10-05-2026,POONDI,1.67
11-05-2026,POONDI,4.77
12-05-2026,POONDI,1.01
13-05-2026,POONDI,0.7
14-05-2026,POONDI,0.31
15-05-2026,POONDI,0.33
16-05-2026,POONDI,1.13
17-05-2026,POONDI,1.81
18-05-2026,POONDI,0.17
19-05-2026,POONDI,5.61
20-05-2026,POONDI,2.81
21-05-2026,POONDI,1.77
22-05-2026,POONDI,3.53
23-05-2026,POONDI,0.17
24-05-2026,POONDI,1.3
25-05-2026,POONDI,1.99
26-05-2026,POONDI,3.53
27-05-2026,POONDI,3.06
28-05-2026,POONDI,0.65
29-05-2026,POONDI,5.66
30-05-2026,POONDI,0.27
31-05-2026,POONDI,4.16
01-06-2026,POONDI,7.08
02-06-2026,POONDI,0.39
03-06-2026,POONDI,2.56
04-06-2026,POONDI,0.08
05-06-2026,POONDI,1.04
06-06-2026,POONDI,1.45
07-06-2026,POONDI,1.74
08-06-2026,POONDI,5.5
09-06-2026,POONDI,2.23
10-06-2026,POONDI,1.31
11-06-2026,POONDI,3.32
12-06-2026,POONDI,6.01
13-06-2026,POONDI,0.04
14-06-2026,POONDI,8.09
15-06-2026,POONDI,0.18
16-06-2026,POONDI,3.37
17-06-2026,POONDI,0.66
18-06-2026,POONDI,0.28
19-06-2026,POONDI,1.16
20-06-2026,POONDI,2.07
21-06-2026,POONDI,0.96
22-06-2026,POONDI,0.11
23-06-2026,POONDI,1.83
24-06-2026,POONDI,4.65
25-06-2026,POONDI,0.97
26-06-2026,POONDI,0.49
27-06-2026,POONDI,1.17
28-06-2026,POONDI,0.1
29-06-2026,POONDI,3.44
30-06-2026,POONDI,3.5
01-07-2026,POONDI,1.77
02-07-2026,POONDI,0.87
03-07-2026,POONDI,3.22
04-07-2026,POONDI,1.62
05-07-2026,POONDI,3.5
06-07-2026,POONDI,2.0
07-07-2026,POONDI,3.07
08-07-2026,POONDI,1.83
09-07-2026,POONDI,1.07
10-07-2026,POONDI,6.34
11-07-2026,POONDI,1.56
12-07-2026,POONDI,1.86
13-07-2026,POONDI,0.5
14-07-2026,POONDI,1.97
15-07-2026,POONDI,1.7
16-07-2026,POONDI,0.41
17-07-2026,POONDI,0.12
18-07-2026,POONDI,1.85
19-07-2026,POONDI,2.89
20-07-2026,POONDI,1.48
21-07-2026,POONDI,0.51
22-07-2026,POONDI,2.2
23-07-2026,POONDI,0.17
24-07-2026,POONDI,1.17
25-07-2026,POONDI,0.36
26-07-2026,POONDI,0.41
27-07-2026,POONDI,0.45
28-07-2026,POONDI,0.98
29-07-2026,POONDI,0.11
30-07-2026,POONDI,1.01
31-07-2026,POONDI,1.43
01-08-2026,POONDI,1.32
02-08-2026,POONDI,0.97
03-08-2026,POONDI,3.65
04-08-2026,POONDI,0.31
05-08-2026,POONDI,1.41
06-08-2026,POONDI,0.13
07-08-2026,POONDI,0.15
08-08-2026,POONDI,1.71
09-08-2026,POONDI,1.67
10-08-2026,POONDI,4.21
11-08-2026,POONDI,1.63
12-08-2026,POONDI,6.43
13-08-2026,POONDI,0.1
14-08-2026,POONDI,0.21
15-08-2026,POONDI,0.09
16-08-2026,POONDI,0.41
17-08-2026,POONDI,1.56
18-08-2026,POONDI,2.07
19-08-2026,POONDI,0.09
20-08-2026,POONDI,5.84
21-08-2026,POONDI,3.69
22-08-2026,POONDI,0.7
23-08-2026,POONDI,0.16
24-08-2026,POONDI,0.37
25-08-2026,POONDI,0.27
26-08-2026,POONDI,0.26
27-08-2026,POONDI,1.46
28-08-2026,POONDI,0.56
29-08-2026,POONDI,0.89
30-08-2026,POONDI,9.11
31-08-2026,POONDI,2.31
01-09-2026,POONDI,5.95
02-09-2026,POONDI,0.31
03-09-2026,POONDI,0.96
04-09-2026,POONDI,1.62
05-09-2026,POONDI,0.16
06-09-2026,POONDI,0.01
07-09-2026,POONDI,2.22
08-09-2026,POONDI,2.05
09-09-2026,POONDI,1.06
10-09-2026,POONDI,1.35
11-09-2026,POONDI,1.07
12-09-2026,POONDI,0.05
13-09-2026,POONDI,0.82
14-09-2026,POONDI,0.39
15-09-2026,POONDI,0.21
16-09-2026,POONDI,6.28
17-09-2024,CHOLAVARAM,1.83
18-09-2024,CHOLAVARAM,2.61
19-09-2024,CHOLAVARAM,0.76
20-09-2024,CHOLAVARAM,1.0
21-09-2024,CHOLAVARAM,0.54
22-09-2024,CHOLAVARAM,0.2
23-09-2024,CHOLAVARAM,0.39
24-09-2024,CHOLAVARAM,3.19
25-09-2024,CHOLAVARAM,2.26
26-09-2024,CHOLAVARAM,1.58
27-09-2024,CHOLAVARAM,1.29
28-09-2024,CHOLAVARAM,5.11
29-09-2024,CHOLAVARAM,0.15
30-09-2024,CHOLAVARAM,0.66
01-10-2024,CHOLAVARAM,10.77
02-10-2024,CHOLAVARAM,38.13
03-10-2024,CHOLAVARAM,122.37
04-10-2024,CHOLAVARAM,6.88
05-10-2024,CHOLAVARAM,51.85
06-10-2024,CHOLAVARAM,44.39
07-10-2024,CHOLAVARAM,6.36
08-10-2024,CHOLAVARAM,12.74
09-10-2024,CHOLAVARAM,13.18
10-10-2024,CHOLAVARAM,95.67
11-10-2024,CHOLAVARAM,4.99
12-10-2024,CHOLAVARAM,40.13
13-10-2024,CHOLAVARAM,10.17
14-10-2024,CHOLAVARAM,32.81
15-10-2024,CHOLAVARAM,13.62
16-10-2024,CHOLAVARAM,21.59
17-10-2024,CHOLAVARAM,44.69
18-10-2024,CHOLAVARAM,40.76
19-10-2024,CHOLAVARAM,50.33
20-10-2024,CHOLAVARAM,1.54
21-10-2024,CHOLAVARAM,29.45
22-10-2024,CHOLAVARAM,3.77
23-10-2024,CHOLAVARAM,13.44
24-10-2024,CHOLAVARAM,19.88
25-10-2024,CHOLAVARAM,12.89
26-10-2024,CHOLAVARAM,18.33
27-10-2024,CHOLAVARAM,141.56
28-10-2024,CHOLAVARAM,3.63
29-10-2024,CHOLAVARAM,28.13
30-10-2024,CHOLAVARAM,12.6
31-10-2024,CHOLAVARAM,3.57
01-11-2024,CHOLAVARAM,4.32
02-11-2024,CHOLAVARAM,74.53
03-11-2024,CHOLAVARAM,52.92
04-11-2024,CHOLAVARAM,59.39
05-11-2024,CHOLAVARAM,119.29
06-11-2024,CHOLAVARAM,5.84
07-11-2024,CHOLAVARAM,10.98
08-11-2024,CHOLAVARAM,27.66
09-11-2024,CHOLAVARAM,16.53
10-11-2024,CHOLAVARAM,13.55
11-11-2024,CHOLAVARAM,11.07
12-11-2024,CHOLAVARAM,22.52
13-11-2024,CHOLAVARAM,21.43
14-11-2024,CHOLAVARAM,4.4
15-11-2024,CHOLAVARAM,15.95
16-11-2024,CHOLAVARAM,20.16
17-11-2024,CHOLAVARAM,21.12
18-11-2024,CHOLAVARAM,5.9
19-11-2024,CHOLAVARAM,33.9
20-11-2024,CHOLAVARAM,0.64
21-11-2024,CHOLAVARAM,10.96
22-11-2024,CHOLAVARAM,37.88
23-11-2024,CHOLAVARAM,20.75
24-11-2024,CHOLAVARAM,7.57
25-11-2024,CHOLAVARAM,29.68
26-11-2024,CHOLAVARAM,20.95
27-11-2024,CHOLAVARAM,39.77
28-11-2024,CHOLAVARAM,33.2
29-11-2024,CHOLAVARAM,23.55
30-11-2024,CHOLAVARAM,16.74
01-12-2024,CHOLAVARAM,3.57
02-12-2024,CHOLAVARAM,7.57
03-12-2024,CHOLAVARAM,13.58
04-12-2024,CHOLAVARAM,22.86
05-12-2024,CHOLAVARAM,18.02
06-12-2024,CHOLAVARAM,8.5
07-12-2024,CHOLAVARAM,0.16
08-12-2024,CHOLAVARAM,17.14
09-12-2024,CHOLAVARAM,8.41
10-12-2024,CHOLAVARAM,33.16
11-12-2024,CHOLAVARAM,0.61
12-12-2024,CHOLAVARAM,21.98
13-12-2024,CHOLAVARAM,70.96
14-12-2024,CHOLAVARAM,4.79
15-12-2024,CHOLAVARAM,15.95
16-12-2024,CHOLAVARAM,2.4
17-12-2024,CHOLAVARAM,24.57
18-12-2024,CHOLAVARAM,19.99
19-12-2024,CHOLAVARAM,13.08
20-12-2024,CHOLAVARAM,18.42
21-12-2024,CHOLAVARAM,56.72
22-12-2024,CHOLAVARAM,5.46
23-12-2024,CHOLAVARAM,0.57
24-12-2024,CHOLAVARAM,49.45
25-12-2024,CHOLAVARAM,21.52
26-12-2024,CHOLAVARAM,55.33
27-12-2024,CHOLAVARAM,22.72
28-12-2024,CHOLAVARAM,41.54
29-12-2024,CHOLAVARAM,14.04
30-12-2024,CHOLAVARAM,34.64
31-12-2024,CHOLAVARAM,61.06
01-01-2025,CHOLAVARAM,1.7
02-01-2025,CHOLAVARAM,0.4
03-01-2025,CHOLAVARAM,0.63
