Date,Area,Population_Served,Actual_LPCD,Norm_LPCD,Wastage_LPCD
14-11-2024,POONDI,191708,152.0,135,17.0
15-11-2024,POONDI,191708,155.5,135,20.5
16-11-2024,POONDI,191708,145.3,135,10.3
17-11-2024,POONDI,191708,137.5,135,2.5
18-11-2024,POONDI,191708,96.9,135,0.0
19-11-2024,POONDI,191708,159.4,135,24.4
20-11-2024,POONDI,191708,165.8,135,30.8
21-11-2024,POONDI,191708,121.8,135,0.0
22-11-2024,POONDI,191708,157.1,135,22.1
23-11-2024,POONDI,191708,133.2,135,0.0
24-11-2024,POONDI,191708,137.7,135,2.7
25-11-2024,POONDI,191708,171.2,135,36.2
26-11-2024,POONDI,191708,125.2,135,0.0
27-11-2024,POONDI,191708,125.2,135,0.0
28-11-2024,POONDI,191708,181.1,135,46.1
29-11-2024,POONDI,191708,142.1,135,7.1
30-11-2024,POONDI,191708,169.9,135,34.9
01-12-2024,POONDI,191708,113.0,135,0.0
02-12-2024,POONDI,191708,114.6,135,0.0
03-12-2024,POONDI,191708,126.7,135,0.0
04-12-2024,POONDI,191708,135.4,135,0.4
05-12-2024,POONDI,191708,116.9,135,0.0
06-12-2024,POONDI,191708,152.4,135,17.4
07-12-2024,POONDI,191708,153.7,135,18.7
08-12-2024,POONDI,191708,127.0,135,0.0
09-12-2024,POONDI,191708,128.6,135,0.0
10-12-2024,POONDI,191708,131.3,135,0.0
11-12-2024,POONDI,191708,121.7,135,0.0
12-12-2024,POONDI,191708,87.1,135,0.0
13-12-2024,POONDI,191708,143.3,135,8.3
14-12-2024,POONDI,191708,136.4,135,1.4
15-12-2024,POONDI,191708,138.4,135,3.4
16-12-2024,POONDI,191708,124.8,135,0.0
17-12-2024,POONDI,191708,161.2,135,26.2
18-12-2024,POONDI,191708,193.5,135,58.5
19-12-2024,POONDI,191708,128.3,135,0.0
20-12-2024,POONDI,191708,173.0,135,38.0
21-12-2024,POONDI,191708,152.3,135,17.3
22-12-2024,POONDI,191708,145.7,135,10.7
23-12-2024,POONDI,191708,138.1,135,3.1
24-12-2024,POONDI,191708,143.3,135,8.3
25-12-2024,POONDI,191708,168.0,135,33.0
26-12-2024,POONDI,191708,122.2,135,0.0
27-12-2024,POONDI,191708,139.5,135,4.5
28-12-2024,POONDI,191708,170.0,135,35.0
29-12-2024,POONDI,191708,164.7,135,29.7
30-12-2024,POONDI,191708,122.5,135,0.0
31-12-2024,POONDI,191708,141.3,135,6.3
01-01-2025,POONDI,191708,159.6,135,24.6
02-01-2025,POONDI,191708,158.3,135,23.3
03-01-2025,POONDI,191708,164.5,135,29.5
04-01-2025,POONDI,191708,152.7,135,17.7
05-01-2025,POONDI,191708,156.0,135,21.0
06-01-2025,POONDI,191708,151.9,135,16.9
07-01-2025,POONDI,191708,176.6,135,41.6
08-01-2025,POONDI,191708,136.6,135,1.6
09-01-2025,POONDI,191708,146.0,135,11.0
10-01-2025,POONDI,191708,124.7,135,0.0
11-01-2025,POONDI,191708,120.8,135,0.0
12-01-2025,POONDI,191708,151.5,135,16.5
13-01-2025,POONDI,191708,130.5,135,0.0
14-01-2025,POONDI,191708,143.8,135,8.8
15-01-2025,POONDI,191708,177.4,135,42.4
16-01-2025,POONDI,191708,176.2,135,41.2
17-01-2025,POONDI,191708,189.5,135,54.5
18-01-2025,POONDI,191708,177.8,135,42.8
19-01-2025,POONDI,191708,193.1,135,58.1
20-01-2025,POONDI,191708,153.7,135,18.7
21-01-2025,POONDI,191708,126.9,135,0.0
22-01-2025,POONDI,191708,125.0,135,0.0
23-01-2025,POONDI,191708,172.9,135,37.9
24-01-2025,POONDI,191708,146.0,135,11.0
25-01-2025,POONDI,191708,147.5,135,12.5
26-01-2025,POONDI,191708,134.0,135,0.0
27-01-2025,POONDI,191708,136.4,135,1.4
28-01-2025,POONDI,191708,152.7,135,17.7
29-01-2025,POONDI,191708,123.9,135,0.0
30-01-2025,POONDI,191708,150.1,135,15.1
31-01-2025,POONDI,191708,175.2,135,40.2
01-02-2025,POONDI,191708,102.3,135,0.0
02-02-2025,POONDI,191708,114.2,135,0.0
03-02-2025,POONDI,191708,158.5,135,23.5
04-02-2025,POONDI,191708,172.3,135,37.3
05-02-2025,POONDI,191708,135.2,135,0.2
06-02-2025,POONDI,191708,105.0,135,0.0
07-02-2025,POONDI,191708,173.6,135,38.6
08-02-2025,POONDI,191708,128.8,135,0.0
09-02-2025,POONDI,191708,137.8,135,2.8
10-02-2025,POONDI,191708,151.4,135,16.4
11-02-2025,POONDI,191708,131.7,135,0.0
12-02-2025,POONDI,191708,127.5,135,0.0
13-02-2025,POONDI,191708,127.8,135,0.0
14-02-2025,POONDI,191708,182.2,135,47.2
15-02-2025,POONDI,191708,168.2,135,33.2
16-02-2025,POONDI,191708,156.5,135,21.5
17-02-2025,POONDI,191708,101.3,135,0.0
18-02-2025,POONDI,191708,156.6,135,21.6
19-02-2025,POONDI,191708,155.5,135,20.5
20-02-2025,POONDI,191708,119.4,135,0.0
21-02-2025,POONDI,191708,150.2,135,15.2
22-02-2025,POONDI,191708,166.0,135,31.0
23-02-2025,POONDI,191708,156.4,135,21.4
24-02-2025,POONDI,191708,131.4,135,0.0
25-02-2025,POONDI,191708,145.3,135,10.3
26-02-2025,POONDI,191708,159.6,135,24.6
27-02-2025,POONDI,191708,146.2,135,11.2
28-02-2025,POONDI,191708,170.1,135,35.1
01-03-2025,POONDI,191708,152.9,135,17.9
02-03-2025,POONDI,191708,160.1,135,25.1
03-03-2025,POONDI,191708,161.4,135,26.4
04-03-2025,POONDI,191708,123.7,135,0.0
05-03-2025,POONDI,191708,146.0,135,11.0
06-03-2025,POONDI,191708,138.4,135,3.4
07-03-2025,POONDI,191708,165.9,135,30.9
08-03-2025,POONDI,191708,154.3,135,19.3
09-03-2025,POONDI,191708,141.2,135,6.2
10-03-2025,POONDI,191708,119.4,135,0.0
11-03-2025,POONDI,191708,113.1,135,0.0
12-03-2025,POONDI,191708,151.2,135,16.2
13-03-2025,POONDI,191708,130.7,135,0.0
14-03-2025,POONDI,191708,158.3,135,23.3
15-03-2025,POONDI,191708,112.1,135,0.0
16-03-2025,POONDI,191708,176.9,135,41.9
17-03-2025,POONDI,191708,158.3,135,23.3
18-03-2025,POONDI,191708,147.0,135,12.0
19-03-2025,POONDI,191708,178.7,135,43.7
20-03-2025,POONDI,191708,164.0,135,29.0
21-03-2025,POONDI,191708,135.5,135,0.5
22-03-2025,POONDI,191708,146.6,135,11.6
23-03-2025,POONDI,191708,105.7,135,0.0
24-03-2025,POONDI,191708,166.3,135,31.3
25-03-2025,POONDI,191708,139.1,135,4.1
26-03-2025,POONDI,191708,105.5,135,0.0
27-03-2025,POONDI,191708,121.4,135,0.0
28-03-2025,POONDI,191708,162.4,135,27.4
29-03-2025,POONDI,191708,177.3,135,42.3
30-03-2025,POONDI,191708,145.4,135,10.4
31-03-2025,POONDI,191708,125.4,135,0.0
01-04-2025,POONDI,191708,116.6,135,0.0
02-04-2025,POONDI,191708,173.3,135,38.3
03-04-2025,POONDI,191708,154.0,135,19.0
04-04-2025,POONDI,191708,138.4,135,3.4
05-04-2025,POONDI,191708,133.6,135,0.0
06-04-2025,POONDI,191708,158.4,135,23.4
07-04-2025,POONDI,191708,157.9,135,22.9
08-04-2025,POONDI,191708,127.1,135,0.0
09-04-2025,POONDI,191708,122.2,135,0.0
10-04-2025,POONDI,191708,123.2,135,0.0
11-04-2025,POONDI,191708,135.6,135,0.6
12-04-2025,POONDI,191708,131.2,135,0.0
13-04-2025,POONDI,191708,177.4,135,42.4
14-04-2025,POONDI,191708,134.9,135,0.0
15-04-2025,POONDI,191708,120.0,135,0.0
16-04-2025,POONDI,191708,121.1,135,0.0
17-04-2025,POONDI,191708,141.3,135,6.3
18-04-2025,POONDI,191708,108.6,135,0.0
19-04-2025,POONDI,191708,143.8,135,8.8
20-04-2025,POONDI,191708,118.3,135,0.0
21-04-2025,POONDI,191708,168.2,135,33.2
22-04-2025,POONDI,191708,147.3,135,12.3
23-04-2025,POONDI,191708,187.4,135,52.4
24-04-2025,POONDI,191708,140.4,135,5.4
25-04-2025,POONDI,191708,82.4,135,0.0
26-04-2025,POONDI,191708,174.2,135,39.2
27-04-2025,POONDI,191708,155.0,135,20.0
28-04-2025,POONDI,191708,158.1,135,23.1
29-04-2025,POONDI,191708,124.9,135,0.0
30-04-2025,POONDI,191708,144.1,135,9.1
01-05-2025,POONDI,191708,148.7,135,13.7
02-05-2025,POONDI,191708,140.2,135,5.2
03-05-2025,POONDI,191708,110.3,135,0.0
04-05-2025,POONDI,191708,200.4,135,65.4
05-05-2025,POONDI,191708,161.7,135,26.7
06-05-2025,POONDI,191708,153.4,135,18.4
07-05-2025,POONDI,191708,171.3,135,36.3
08-05-2025,POONDI,191708,157.9,135,22.9
09-05-2025,POONDI,191708,131.5,135,0.0
10-05-2025,POONDI,191708,170.0,135,35.0
11-05-2025,POONDI,191708,162.0,135,27.0
12-05-2025,POONDI,191708,132.2,135,0.0
13-05-2025,POONDI,191708,160.8,135,25.8
14-05-2025,POONDI,191708,140.2,135,5.2
15-05-2025,POONDI,191708,149.2,135,14.2
16-05-2025,POONDI,191708,157.0,135,22.0
17-05-2025,POONDI,191708,172.4,135,37.4
18-05-2025,POONDI,191708,132.1,135,0.0
19-05-2025,POONDI,191708,152.3,135,17.3
20-05-2025,POONDI,191708,185.3,135,50.3
21-05-2025,POONDI,191708,141.5,135,6.5
22-05-2025,POONDI,191708,148.9,135,13.9
23-05-2025,POONDI,191708,185.3,135,50.3
24-05-2025,POONDI,191708,157.7,135,22.7
25-05-2025,POONDI,191708,115.5,135,0.0
26-05-2025,POONDI,191708,129.1,135,0.0
27-05-2025,POONDI,191708,158.8,135,23.8
28-05-2025,POONDI,191708,153.5,135,18.5
29-05-2025,POONDI,191708,148.3,135,13.3
30-05-2025,POONDI,191708,188.2,135,53.2
31-05-2025,POONDI,191708,132.7,135,0.0
01-06-2025,POONDI,191708,143.5,135,8.5
02-06-2025,POONDI,191708,105.7,135,0.0
03-06-2025,POONDI,191708,168.2,135,33.2
04-06-2025,POONDI,191708,129.0,135,0.0
05-06-2025,POONDI,191708,166.1,135,31.1
06-06-2025,POONDI,191708,164.0,135,29.0
07-06-2025,POONDI,191708,192.0,135,57.0
08-06-2025,POONDI,191708,158.0,135,23.0
09-06-2025,POONDI,191708,137.9,135,2.9
10-06-2025,POONDI,191708,154.1,135,19.1
11-06-2025,POONDI,191708,129.8,135,0.0
12-06-2025,POONDI,191708,151.4,135,16.4
13-06-2025,POONDI,191708,141.0,135,6.0
14-06-2025,POONDI,191708,143.6,135,8.6
15-06-2025,POONDI,191708,127.0,135,0.0
16-06-2025,POONDI,191708,151.0,135,16.0
17-06-2025,POONDI,191708,161.5,135,26.5
18-06-2025,POONDI,191708,112.0,135,0.0
19-06-2025,POONDI,191708,131.2,135,0.0
20-06-2025,POONDI,191708,148.4,135,13.4
21-06-2025,POONDI,191708,98.1,135,0.0
22-06-2025,POONDI,191708,179.8,135,44.8
23-06-2025,POONDI,191708,130.8,135,0.0
24-06-2025,POONDI,191708,126.2,135,0.0
25-06-2025,POONDI,191708,140.9,135,5.9
26-06-2025,POONDI,191708,147.7,135,12.7
27-06-2025,POONDI,191708,129.9,135,0.0
28-06-2025,POONDI,191708,164.6,135,29.6
29-06-2025,POONDI,191708,153.0,135,18.0
30-06-2025,POONDI,191708,128.3,135,0.0
01-07-2025,POONDI,191708,134.6,135,0.0
02-07-2025,POONDI,191708,114.7,135,0.0
03-07-2025,POONDI,191708,119.9,135,0.0
04-07-2025,POONDI,191708,152.8,135,17.8
05-07-2025,POONDI,191708,128.5,135,0.0
06-07-2025,POONDI,191708,181.1,135,46.1
07-07-2025,POONDI,191708,146.4,135,11.4
08-07-2025,POONDI,191708,117.9,135,0.0
09-07-2025,POONDI,191708,122.1,135,0.0
10-07-2025,POONDI,191708,166.1,135,31.1
11-07-2025,POONDI,191708,143.5,135,8.5
12-07-2025,POONDI,191708,164.8,135,29.8
13-07-2025,POONDI,191708,137.7,135,2.7
14-07-2025,POONDI,191708,133.8,135,0.0
15-07-2025,POONDI,191708,167.4,135,32.4
16-07-2025,POONDI,191708,127.8,135,0.0
17-07-2025,POONDI,191708,154.8,135,19.8
18-07-2025,POONDI,191708,140.8,135,5.8
19-07-2025,POONDI,191708,162.6,135,27.6
20-07-2025,POONDI,191708,181.4,135,46.4
21-07-2025,POONDI,191708,137.2,135,2.2
22-07-2025,POONDI,191708,134.1,135,0.0
23-07-2025,POONDI,191708,158.3,135,23.3
24-07-2025,POONDI,191708,123.4,135,0.0
25-07-2025,POONDI,191708,177.3,135,42.3
26-07-2025,POONDI,191708,173.9,135,38.9
27-07-2025,POONDI,191708,125.0,135,0.0
28-07-2025,POONDI,191708,113.3,135,0.0
29-07-2025,POONDI,191708,121.8,135,0.0
30-07-2025,POONDI,191708,122.1,135,0.0
31-07-2025,POONDI,191708,161.0,135,26.0
01-08-2025,POONDI,191708,176.0,135,41.0
02-08-2025,POONDI,191708,160.8,135,25.8
03-08-2025,POONDI,191708,140.3,135,5.3
04-08-2025,POONDI,191708,151.8,135,16.8
05-08-2025,POONDI,191708,127.6,135,0.0
06-08-2025,POONDI,191708,166.9,135,31.9
07-08-2025,POONDI,191708,153.6,135,18.6
08-08-2025,POONDI,191708,160.5,135,25.5
09-08-2025,POONDI,191708,130.4,135,0.0
10-08-2025,POONDI,191708,141.6,135,6.6
11-08-2025,POONDI,191708,159.5,135,24.5
12-08-2025,POONDI,191708,173.9,135,38.9
13-08-2025,POONDI,191708,132.8,135,0.0
14-08-2025,POONDI,191708,160.6,135,25.6
15-08-2025,POONDI,191708,130.8,135,0.0
16-08-2025,POONDI,191708,187.3,135,52.3
17-08-2025,POONDI,191708,136.7,135,1.7
18-08-2025,POONDI,191708,157.9,135,22.9
19-08-2025,POONDI,191708,148.3,135,13.3
20-08-2025,POONDI,191708,197.1,135,62.1
21-08-2025,POONDI,191708,149.6,135,14.6
22-08-2025,POONDI,191708,134.7,135,0.0
23-08-2025,POONDI,191708,157.8,135,22.8
24-08-2025,POONDI,191708,157.3,135,22.3
25-08-2025,POONDI,191708,141.9,135,6.9
26-08-2025,POONDI,191708,123.1,135,0.0
27-08-2025,POONDI,191708,134.4,135,0.0
28-08-2025,POONDI,191708,162.6,135,27.6
29-08-2025,POONDI,191708,110.1,135,0.0
30-08-2025,POONDI,191708,140.0,135,5.0
31-08-2025,POONDI,191708,164.9,135,29.9
01-09-2025,POONDI,191708,143.1,135,8.1
02-09-2025,POONDI,191708,188.5,135,53.5
03-09-2025,POONDI,191708,110.1,135,0.0
04-09-2025,POONDI,191708,125.8,135,0.0
05-09-2025,POONDI,191708,98.7,135,0.0
06-09-2025,POONDI,191708,184.9,135,49.9
07-09-2025,POONDI,191708,126.1,135,0.0
08-09-2025,POONDI,191708,105.3,135,0.0
09-09-2025,POONDI,191708,132.8,135,0.0
10-09-2025,POONDI,191708,117.1,135,0.0
11-09-2025,POONDI,191708,132.9,135,0.0
12-09-2025,POONDI,191708,145.8,135,10.8
13-09-2025,POONDI,191708,161.1,135,26.1
14-09-2025,POONDI,191708,141.5,135,6.5
15-09-2025,POONDI,191708,145.5,135,10.5
16-09-2025,POONDI,191708,133.4,135,0.0
17-09-2025,POONDI,191708,114.8,135,0.0
18-09-2025,POONDI,191708,108.1,135,0.0
19-09-2025,POONDI,191708,137.7,135,2.7
20-09-2025,POONDI,191708,146.7,135,11.7
21-09-2025,POONDI,191708,136.2,135,1.2
22-09-2025,POONDI,191708,108.8,135,0.0
23-09-2025,POONDI,191708,149.0,135,14.0
24-09-2025,POONDI,191708,177.6,135,42.6
25-09-2025,POONDI,191708,142.7,135,7.7
26-09-2025,POONDI,191708,133.4,135,0.0
27-09-2025,POONDI,191708,143.8,135,8.8
28-09-2025,POONDI,191708,122.9,135,0.0
29-09-2025,POONDI,191708,121.6,135,0.0
30-09-2025,POONDI,191708,154.0,135,19.0
01-10-2025,POONDI,191708,164.8,135,29.8
02-10-2025,POONDI,191708,142.1,135,7.1
03-10-2025,POONDI,191708,105.5,135,0.0
04-10-2025,POONDI,191708,152.1,135,17.1
05-10-2025,POONDI,191708,186.3,135,51.3
06-10-2025,POONDI,191708,140.1,135,5.1
07-10-2025,POONDI,191708,141.4,135,6.4
08-10-2025,POONDI,191708,127.5,135,0.0
09-10-2025,POONDI,191708,154.6,135,19.6
10-10-2025,POONDI,191708,131.6,135,0.0
11-10-2025,POONDI,191708,165.4,135,30.4
12-10-2025,POONDI,191708,131.8,135,0.0
13-10-2025,POONDI,191708,151.8,135,16.8
14-10-2025,POONDI,191708,144.1,135,9.1
15-10-2025,POONDI,191708,176.1,135,41.1
16-10-2025,POONDI,191708,153.2,135,18.2
17-10-2025,POONDI,191708,172.7,135,37.7
18-10-2025,POONDI,191708,147.2,135,12.2
19-10-2025,POONDI,191708,141.6,135,6.6
20-10-2025,POONDI,191708,144.2,135,9.2
21-10-2025,POONDI,191708,129.6,135,0.0
22-10-2025,POONDI,191708,155.6,135,20.6
23-10-2025,POONDI,191708,131.2,135,0.0
24-10-2025,POONDI,191708,147.2,135,12.2
25-10-2025,POONDI,191708,162.1,135,27.1
26-10-2025,POONDI,191708,176.7,135,41.7
27-10-2025,POONDI,191708,148.3,135,13.3
28-10-2025,POONDI,191708,162.2,135,27.2
29-10-2025,POONDI,191708,159.8,135,24.8
30-10-2025,POONDI,191708,137.4,135,2.4
31-10-2025,POONDI,191708,187.2,135,52.2
01-11-2025,POONDI,191708,133.5,135,0.0
02-11-2025,POONDI,191708,146.8,135,11.8
03-11-2025,POONDI,191708,174.1,135,39.1
04-11-2025,POONDI,191708,173.6,135,38.6
05-11-2025,POONDI,191708,145.3,135,10.3
06-11-2025,POONDI,191708,164.8,135,29.8
07-11-2025,POONDI,191708,140.5,135,5.5
08-11-2025,POONDI,191708,135.2,135,0.2
09-11-2025,POONDI,191708,120.7,135,0.0
10-11-2025,POONDI,191708,159.5,135,24.5
11-11-2025,POONDI,191708,161.6,135,26.6
12-11-2025,POONDI,191708,133.6,135,0.0
13-11-2025,POONDI,191708,150.4,135,15.4
14-11-2025,POONDI,191708,198.0,135,63.0
15-11-2025,POONDI,191708,167.9,135,32.9
16-11-2025,POONDI,191708,127.0,135,0.0
17-11-2025,POONDI,191708,165.0,135,30.0
18-11-2025,POONDI,191708,127.1,135,0.0
19-11-2025,POONDI,191708,87.1,135,0.0
20-11-2025,POONDI,191708,144.6,135,9.6
21-11-2025,POONDI,191708,176.3,135,41.3
22-11-2025,POONDI,191708,172.9,135,37.9
23-11-2025,POONDI,191708,152.5,135,17.5
24-11-2025,POONDI,191708,134.2,135,0.0
25-11-2025,POONDI,191708,154.7,135,19.7
26-11-2025,POONDI,191708,139.6,135,4.6
27-11-2025,POONDI,191708,134.7,135,0.0
28-11-2025,POONDI,191708,166.2,135,31.2
29-11-2025,POONDI,191708,134.5,135,0.0
30-11-2025,POONDI,191708,167.5,135,32.5
01-12-2025,POONDI,191708,133.2,135,0.0
02-12-2025,POONDI,191708,186.2,135,51.2
03-12-2025,POONDI,191708,112.2,135,0.0
04-12-2025,POONDI,191708,125.9,135,0.0
05-12-2025,POONDI,191708,141.9,135,6.9
06-12-2025,POONDI,191708,105.3,135,0.0
07-12-2025,POONDI,191708,93.6,135,0.0
08-12-2025,POONDI,191708,105.5,135,0.0
09-12-2025,POONDI,191708,139.2,135,4.2
10-12-2025,POONDI,191708,139.7,135,4.7
11-12-2025,POONDI,191708,151.7,135,16.7
12-12-2025,POONDI,191708,141.1,135,6.1
13-12-2025,POONDI,191708,151.0,135,16.0
14-12-2025,POONDI,191708,136.0,135,1.0
15-12-2025,POONDI,191708,159.3,135,24.3
16-12-2025,POONDI,191708,156.9,135,21.9
17-12-2025,POONDI,191708,138.5,135,3.5
18-12-2025,POONDI,191708,155.7,135,20.7
19-12-2025,POONDI,191708,141.2,135,6.2
20-12-2025,POONDI,191708,114.6,135,0.0
21-12-2025,POONDI,191708,163.1,135,28.1
22-12-2025,POONDI,191708,126.9,135,0.0
23-12-2025,POONDI,191708,162.9,135,27.9
24-12-2025,POONDI,191708,151.5,135,16.5
25-12-2025,POONDI,191708,143.3,135,8.3
26-12-2025,POONDI,191708,107.5,135,0.0
27-12-2025,POONDI,191708,175.8,135,40.8
28-12-2025,POONDI,191708,137.7,135,2.7
29-12-2025,POONDI,191708,157.7,135,22.7
30-12-2025,POONDI,191708,142.7,135,7.7
31-12-2025,POONDI,191708,139.6,135,4.6
01-01-2026,POONDI,191708,148.9,135,13.9
02-01-2026,POONDI,191708,145.5,135,10.5
03-01-2026,POONDI,191708,139.7,135,4.7
04-01-2026,POONDI,191708,143.9,135,8.9
05-01-2026,POONDI,191708,153.5,135,18.5
06-01-2026,POONDI,191708,155.0,135,20.0
07-01-2026,POONDI,191708,145.9,135,10.9
08-01-2026,POONDI,191708,157.4,135,22.4
09-01-2026,POONDI,191708,136.5,135,1.5
10-01-2026,POONDI,191708,189.5,135,54.5
11-01-2026,POONDI,191708,174.7,135,39.7
12-01-2026,POONDI,191708,160.2,135,25.2
13-01-2026,POONDI,191708,106.2,135,0.0
14-01-2026,POONDI,191708,157.1,135,22.1
15-01-2026,POONDI,191708,138.3,135,3.3
16-01-2026,POONDI,191708,125.4,135,0.0
17-01-2026,POONDI,191708,137.8,135,2.8
18-01-2026,POONDI,191708,127.6,135,0.0
19-01-2026,POONDI,191708,155.1,135,20.1
20-01-2026,POONDI,191708,177.3,135,42.3
21-01-2026,POONDI,191708,161.5,135,26.5
22-01-2026,POONDI,191708,200.3,135,65.3
23-01-2026,POONDI,191708,113.9,135,0.0
24-01-2026,POONDI,191708,134.9,135,0.0
25-01-2026,POONDI,191708,126.1,135,0.0
26-01-2026,POONDI,191708,169.6,135,34.6
27-01-2026,POONDI,191708,140.6,135,5.6
28-01-2026,POONDI,191708,148.8,135,13.8
29-01-2026,POONDI,191708,157.7,135,22.7
30-01-2026,POONDI,191708,115.9,135,0.0
31-01-2026,POONDI,191708,132.6,135,0.0
01-02-2026,POONDI,191708,164.9,135,29.9
02-02-2026,POONDI,191708,134.0,135,0.0
03-02-2026,POONDI,191708,110.7,135,0.0
04-02-2026,POONDI,191708,127.0,135,0.0
05-02-2026,POONDI,191708,139.3,135,4.3
06-02-2026,POONDI,191708,148.3,135,13.3
07-02-2026,POONDI,191708,143.6,135,8.6
08-02-2026,POONDI,191708,132.7,135,0.0
09-02-2026,POONDI,191708,163.8,135,28.8
10-02-2026,POONDI,191708,142.4,135,7.4
11-02-2026,POONDI,191708,149.2,135,14.2
12-02-2026,POONDI,191708,133.8,135,0.0
13-02-2026,POONDI,191708,175.2,135,40.2
14-02-2026,POONDI,191708,137.2,135,2.2
15-02-2026,POONDI,191708,146.5,135,11.5
16-02-2026,POONDI,191708,165.7,135,30.7
17-02-2026,POONDI,191708,150.6,135,15.6
18-02-2026,POONDI,191708,150.1,135,15.1
19-02-2026,POONDI,191708,105.5,135,0.0
20-02-2026,POONDI,191708,158.6,135,23.6
21-02-2026,POONDI,191708,146.1,135,11.1
22-02-2026,POONDI,191708,155.8,135,20.8
23-02-2026,POONDI,191708,148.7,135,13.7
24-02-2026,POONDI,191708,133.8,135,0.0
25-02-2026,POONDI,191708,162.9,135,27.9
26-02-2026,POONDI,191708,149.0,135,14.0
27-02-2026,POONDI,191708,119.2,135,0.0
28-02-2026,POONDI,191708,171.2,135,36.2
01-03-2026,POONDI,191708,116.4,135,0.0
02-03-2026,POONDI,191708,163.0,135,28.0
03-03-2026,POONDI,191708,174.7,135,39.7
04-03-2026,POONDI,191708,122.9,135,0.0
05-03-2026,POONDI,191708,142.5,135,7.5
06-03-2026,POONDI,191708,140.7,135,5.7
07-03-2026,POONDI,191708,141.6,135,6.6
08-03-2026,POONDI,191708,181.6,135,46.6
09-03-2026,POONDI,191708,123.1,135,0.0
10-03-2026,POONDI,191708,138.9,135,3.9
11-03-2026,POONDI,191708,175.1,135,40.1
12-03-2026,POONDI,191708,138.5,135,3.5
13-03-2026,POONDI,191708,126.3,135,0.0
14-03-2026,POONDI,191708,150.3,135,15.3
15-03-2026,POONDI,191708,161.1,135,26.1
16-03-2026,POONDI,191708,137.1,135,2.1
17-03-2026,POONDI,191708,156.1,135,21.1
18-03-2026,POONDI,191708,117.5,135,0.0
19-03-2026,POONDI,191708,118.6,135,0.0
20-03-2026,POONDI,191708,136.2,135,1.2
21-03-2026,POONDI,191708,156.8,135,21.8
22-03-2026,POONDI,191708,160.2,135,25.2
23-03-2026,POONDI,191708,121.4,135,0.0
24-03-2026,POONDI,191708,159.5,135,24.5
25-03-2026,POONDI,191708,148.3,135,13.3
26-03-2026,POONDI,191708,127.4,135,0.0
