Date,Area,Level_mcft
18-12-2024,POONDI,3038.95
19-12-2024,POONDI,3052.32
20-12-2024,POONDI,3065.36
21-12-2024,POONDI,3073.04
22-12-2024,POONDI,3089.52
23-12-2024,POONDI,3105.82
24-12-2024,POONDI,3120.85
25-12-2024,POONDI,3134.68
26-12-2024,POONDI,3142.6
27-12-2024,POONDI,3155.5
28-12-2024,POONDI,3168.78
29-12-2024,POONDI,3179.77
30-12-2024,POONDI,3193.97
31-12-2024,POONDI,3210.99
01-01-2025,POONDI,3217.42
02-01-2025,POONDI,3215.29
03-01-2025,POONDI,3213.58
04-01-2025,POONDI,3210.2
05-01-2025,POONDI,3197.61
06-01-2025,POONDI,3194.48
07-01-2025,POONDI,3191.78
08-01-2025,POONDI,3201.1
09-01-2025,POONDI,3197.13
10-01-2025,POONDI,3195.64
11-01-2025,POONDI,3192.47
12-01-2025,POONDI,3183.62
13-01-2025,POONDI,3186.34
14-01-2025,POONDI,3187.1
15-01-2025,POONDI,3188.05
16-01-2025,POONDI,3180.51
17-01-2025,POONDI,3184.52
18-01-2025,POONDI,3174.51
19-01-2025,POONDI,3174.45
20-01-2025,POONDI,3182.4
21-01-2025,POONDI,3174.45
22-01-2025,POONDI,3168.61
23-01-2025,POONDI,3166.11
24-01-2025,POONDI,3160.59
25-01-2025,POONDI,3149.84
26-01-2025,POONDI,3147.18
27-01-2025,POONDI,3138.87
28-01-2025,POONDI,3138.24
29-01-2025,POONDI,3130.64
30-01-2025,POONDI,3135.39
31-01-2025,POONDI,3128.48
01-02-2025,POONDI,3123.87
02-02-2025,POONDI,3124.93
03-02-2025,POONDI,3115.78
04-02-2025,POONDI,3113.92
05-02-2025,POONDI,3117.45
06-02-2025,POONDI,3106.42
07-02-2025,POONDI,3104.34
08-02-2025,POONDI,3102.64
09-02-2025,POONDI,3103.55
10-02-2025,POONDI,3094.36
11-02-2025,POONDI,3084.76
12-02-2025,POONDI,3084.37
13-02-2025,POONDI,3082.85
14-02-2025,POONDI,3081.11
15-02-2025,POONDI,3079.84
16-02-2025,POONDI,3073.44
17-02-2025,POONDI,3071.6
18-02-2025,POONDI,3070.07
19-02-2025,POONDI,3063.49
20-02-2025,POONDI,3069.82
21-02-2025,POONDI,3069.19
22-02-2025,POONDI,3060.24
23-02-2025,POONDI,3060.52
24-02-2025,POONDI,3052.65
25-02-2025,POONDI,3053.58
26-02-2025,POONDI,3056.37
27-02-2025,POONDI,3049.27
28-02-2025,POONDI,3051.09
01-03-2025,POONDI,3050.15
02-03-2025,POONDI,3051.26
03-03-2025,POONDI,3057.75
04-03-2025,POONDI,3053.52
05-03-2025,POONDI,3046.75
06-03-2025,POONDI,3039.3
07-03-2025,POONDI,3032.22
08-03-2025,POONDI,3028.84
09-03-2025,POONDI,3027.54
10-03-2025,POONDI,3025.93
11-03-2025,POONDI,3027.06
12-03-2025,POONDI,3024.13
13-03-2025,POONDI,3028.4
14-03-2025,POONDI,3024.07
15-03-2025,POONDI,3034.67
16-03-2025,POONDI,3034.8
17-03-2025,POONDI,3027.52
18-03-2025,POONDI,3019.16
19-03-2025,POONDI,3018.57
20-03-2025,POONDI,3014.46
21-03-2025,POONDI,3015.03
22-03-2025,POONDI,3014.39
23-03-2025,POONDI,3011.03
24-03-2025,POONDI,3003.79
25-03-2025,POONDI,2993.22
26-03-2025,POONDI,2987.99
27-03-2025,POONDI,2989.27
28-03-2025,POONDI,2987.34
29-03-2025,POONDI,2978.11
30-03-2025,POONDI,2975.98
31-03-2025,POONDI,2974.9
01-04-2025,POONDI,2967.48
02-04-2025,POONDI,2965.25
03-04-2025,POONDI,2962.54
04-04-2025,POONDI,2953.83
05-04-2025,POONDI,2952.62
06-04-2025,POONDI,2952.42
07-04-2025,POONDI,2954.84
08-04-2025,POONDI,2957.11
09-04-2025,POONDI,2947.22
10-04-2025,POONDI,2939.53
11-04-2025,POONDI,2939.1
12-04-2025,POONDI,2938.67
13-04-2025,POONDI,2938.25
14-04-2025,POONDI,2954.51
15-04-2025,POONDI,2954.37
16-04-2025,POONDI,2957.04
17-04-2025,POONDI,2958.81
18-04-2025,POONDI,2959.07
19-04-2025,POONDI,2954.49
20-04-2025,POONDI,2955.29
21-04-2025,POONDI,2948.43
22-04-2025,POONDI,2944.24
23-04-2025,POONDI,2938.81
24-04-2025,POONDI,2936.22
25-04-2025,POONDI,2944.8
26-04-2025,POONDI,2932.46
27-04-2025,POONDI,2932.89
28-04-2025,POONDI,2921.83
29-04-2025,POONDI,2916.47
30-04-2025,POONDI,2918.91
01-05-2025,POONDI,2916.23
02-05-2025,POONDI,2907.85
03-05-2025,POONDI,2901.27
04-05-2025,POONDI,2901.67
05-05-2025,POONDI,2895.02
06-05-2025,POONDI,2893.1
07-05-2025,POONDI,2890.33
08-05-2025,POONDI,2884.07
09-05-2025,POONDI,2891.79
10-05-2025,POONDI,2891.96
11-05-2025,POONDI,2878.83
12-05-2025,POONDI,2876.76
13-05-2025,POONDI,2870.45
14-05-2025,POONDI,2871.72
15-05-2025,POONDI,2864.75
16-05-2025,POONDI,2861.18
17-05-2025,POONDI,2860.71
18-05-2025,POONDI,2862.03
19-05-2025,POONDI,2853.03
20-05-2025,POONDI,2848.36
21-05-2025,POONDI,2842.99
22-05-2025,POONDI,2836.72
23-05-2025,POONDI,2842.55
24-05-2025,POONDI,2841.57
25-05-2025,POONDI,2832.27
26-05-2025,POONDI,2833.86
27-05-2025,POONDI,2841.47
28-05-2025,POONDI,2843.63
29-05-2025,POONDI,2833.03
30-05-2025,POONDI,2827.61
31-05-2025,POONDI,2830.95
01-06-2025,POONDI,2824.41
02-06-2025,POONDI,2823.63
03-06-2025,POONDI,2824.5
04-06-2025,POONDI,2816.87
05-06-2025,POONDI,2813.57
06-06-2025,POONDI,2794.36
07-06-2025,POONDI,2786.24
08-06-2025,POONDI,2781.98
09-06-2025,POONDI,2772.74
10-06-2025,POONDI,2777.9
11-06-2025,POONDI,2767.75
12-06-2025,POONDI,2762.55
13-06-2025,POONDI,2760.2
14-06-2025,POONDI,2764.41
15-06-2025,POONDI,2754.23
16-06-2025,POONDI,2757.05
17-06-2025,POONDI,2754.1
18-06-2025,POONDI,2746.19
19-06-2025,POONDI,2745.5
20-06-2025,POONDI,2743.49
21-06-2025,POONDI,2737.49
22-06-2025,POONDI,2734.84
23-06-2025,POONDI,2729.92
24-06-2025,POONDI,2727.48
25-06-2025,POONDI,2727.79
26-06-2025,POONDI,2732.72
27-06-2025,POONDI,2723.54
28-06-2025,POONDI,2731.2
29-06-2025,POONDI,2718.44
30-06-2025,POONDI,2714.68
01-07-2025,POONDI,2714.62
02-07-2025,POONDI,2713.03
03-07-2025,POONDI,2706.91
04-07-2025,POONDI,2702.87
05-07-2025,POONDI,2697.41
06-07-2025,POONDI,2691.46
07-07-2025,POONDI,2692.71
08-07-2025,POONDI,2691.49
09-07-2025,POONDI,2685.03
10-07-2025,POONDI,2686.53
11-07-2025,POONDI,2685.06
12-07-2025,POONDI,2686.13
13-07-2025,POONDI,2686.28
14-07-2025,POONDI,2679.13
15-07-2025,POONDI,2673.33
16-07-2025,POONDI,2674.07
17-07-2025,POONDI,2674.12
18-07-2025,POONDI,2671.02
19-07-2025,POONDI,2668.6
20-07-2025,POONDI,2671.99
21-07-2025,POONDI,2666.03
22-07-2025,POONDI,2665.77
23-07-2025,POONDI,2661.76
24-07-2025,POONDI,2657.67
25-07-2025,POONDI,2660.16
26-07-2025,POONDI,2661.29
27-07-2025,POONDI,2662.36
28-07-2025,POONDI,2665.88
29-07-2025,POONDI,2662.99
30-07-2025,POONDI,2663.4
31-07-2025,POONDI,2658.85
01-08-2025,POONDI,2657.47
02-08-2025,POONDI,2653.82
03-08-2025,POONDI,2651.3
04-08-2025,POONDI,2651.28
05-08-2025,POONDI,2644.19
06-08-2025,POONDI,2651.65
07-08-2025,POONDI,2643.62
08-08-2025,POONDI,2634.55
09-08-2025,POONDI,2637.34
10-08-2025,POONDI,2638.3
11-08-2025,POONDI,2638.42
12-08-2025,POONDI,2638.56
13-08-2025,POONDI,2635.5
14-08-2025,POONDI,2628.01
15-08-2025,POONDI,2625.39
16-08-2025,POONDI,2619.01
17-08-2025,POONDI,2620.88
18-08-2025,POONDI,2617.15
19-08-2025,POONDI,2610.02
20-08-2025,POONDI,2605.41
21-08-2025,POONDI,2604.48
22-08-2025,POONDI,2598.66
23-08-2025,POONDI,2591.55
24-08-2025,POONDI,2589.76
25-08-2025,POONDI,2587.99
26-08-2025,POONDI,2582.45
27-08-2025,POONDI,2577.1
28-08-2025,POONDI,2575.26
29-08-2025,POONDI,2565.02
30-08-2025,POONDI,2554.98
31-08-2025,POONDI,2548.39
01-09-2025,POONDI,2544.32
02-09-2025,POONDI,2542.88
03-09-2025,POONDI,2547.25
04-09-2025,POONDI,2548.54
05-09-2025,POONDI,2544.74
06-09-2025,POONDI,2541.65
07-09-2025,POONDI,2533.63
08-09-2025,POONDI,2530.54
09-09-2025,POONDI,2526.1
10-09-2025,POONDI,2524.71
11-09-2025,POONDI,2517.58
12-09-2025,POONDI,2517.17
13-09-2025,POONDI,2521.84
14-09-2025,POONDI,2518.29
15-09-2025,POONDI,2517.3
16-09-2025,POONDI,2517.75
17-09-2025,POONDI,2512.75
18-09-2025,POONDI,2510.87
19-09-2025,POONDI,2507.93
20-09-2025,POONDI,2505.42
21-09-2025,POONDI,2498.55
22-09-2025,POONDI,2495.68
23-09-2025,POONDI,2495.17
24-09-2025,POONDI,2499.42
25-09-2025,POONDI,2501.22
26-09-2025,POONDI,2508.98
27-09-2025,POONDI,2502.15
28-09-2025,POONDI,2503.51
29-09-2025,POONDI,2501.42
30-09-2025,POONDI,2509.37
01-10-2025,POONDI,2520.33
02-10-2025,POONDI,2531.13
03-10-2025,POONDI,2543.14
04-10-2025,POONDI,2547.52
05-10-2025,POONDI,2559.89
06-10-2025,POONDI,2571.09
07-10-2025,POONDI,2586.84
08-10-2025,POONDI,2603.55
09-10-2025,POONDI,2627.93
10-10-2025,POONDI,2647.69
11-10-2025,POONDI,2659.8
12-10-2025,POONDI,2670.31
13-10-2025,POONDI,2687.77
14-10-2025,POONDI,2696.17
15-10-2025,POONDI,2720.33
16-10-2025,POONDI,2741.22
17-10-2025,POONDI,2753.88
18-10-2025,POONDI,2760.31
19-10-2025,POONDI,2782.08
20-10-2025,POONDI,2796.51
21-10-2025,POONDI,2817.7
22-10-2025,POONDI,2824.73
23-10-2025,POONDI,2836.73
24-10-2025,POONDI,2851.75
25-10-2025,POONDI,2866.99
26-10-2025,POONDI,2879.74
27-10-2025,POONDI,2897.85
28-10-2025,POONDI,2907.52
29-10-2025,POONDI,2921.8
30-10-2025,POONDI,2937.4
31-10-2025,POONDI,2954.98
01-11-2025,POONDI,2973.53
02-11-2025,POONDI,2982.91
03-11-2025,POONDI,2990.24
04-11-2025,POONDI,3011.63
05-11-2025,POONDI,3028.29
06-11-2025,POONDI,3039.55
07-11-2025,POONDI,3062.3
08-11-2025,POONDI,3077.88
09-11-2025,POONDI,3098.78
10-11-2025,POONDI,3114.12
11-11-2025,POONDI,3139.42
12-11-2025,POONDI,3163.2
13-11-2025,POONDI,3176.95
14-11-2025,POONDI,3196.81
15-11-2025,POONDI,3215.04
16-11-2025,POONDI,3231.0
17-11-2025,POONDI,3231.0
18-11-2025,POONDI,3231.0
19-11-2025,POONDI,3231.0
20-11-2025,POONDI,3231.0
21-11-2025,POONDI,3231.0
22-11-2025,POONDI,3231.0
23-11-2025,POONDI,3231.0
24-11-2025,POONDI,3231.0
25-11-2025,POONDI,3231.0
26-11-2025,POONDI,3231.0
27-11-2025,POONDI,3231.0
28-11-2025,POONDI,3231.0
29-11-2025,POONDI,3231.0
30-11-2025,POONDI,3231.0
01-12-2025,POONDI,3231.0
02-12-2025,POONDI,3231.0
03-12-2025,POONDI,3231.0
04-12-2025,POONDI,3231.0
05-12-2025,POONDI,3231.0
06-12-2025,POONDI,3231.0
07-12-2025,POONDI,3231.0
08-12-2025,POONDI,3231.0
09-12-2025,POONDI,3231.0
10-12-2025,POONDI,3231.0
11-12-2025,POONDI,3231.0
12-12-2025,POONDI,3231.0
13-12-2025,POONDI,3231.0
14-12-2025,POONDI,3231.0
15-12-2025,POONDI,3231.0
16-12-2025,POONDI,3231.0
17-12-2025,POONDI,3231.0
18-12-2025,POONDI,3231.0
19-12-2025,POONDI,3231.0
20-12-2025,POONDI,3231.0
21-12-2025,POONDI,3231.0
22-12-2025,POONDI,3231.0
23-12-2025,POONDI,3231.0
24-12-2025,POONDI,3231.0
25-12-2025,POONDI,3231.0
26-12-2025,POONDI,3231.0
27-12-2025,POONDI,3231.0
28-12-2025,POONDI,3231.0
29-12-2025,POONDI,3231.0
30-12-2025,POONDI,3231.0
31-12-2025,POONDI,3231.0
01-01-2026,POONDI,3216.49
02-01-2026,POONDI,3205.91
03-01-2026,POONDI,3209.75
04-01-2026,POONDI,3214.97
05-01-2026,POONDI,3210.73
06-01-2026,POONDI,3210.61
07-01-2026,POONDI,3209.17
08-01-2026,POONDI,3221.56
09-01-2026,POONDI,3224.16
10-01-2026,POONDI,3220.52
11-01-2026,POONDI,3212.74
12-01-2026,POONDI,3201.71
13-01-2026,POONDI,3199.73
14-01-2026,POONDI,3192.95
15-01-2026,POONDI,3182.83
16-01-2026,POONDI,3176.6
17-01-2026,POONDI,3168.19
18-01-2026,POONDI,3173.63
19-01-2026,POONDI,3175.04
20-01-2026,POONDI,3172.0
21-01-2026,POONDI,3176.4
22-01-2026,POONDI,3173.78
23-01-2026,POONDI,3166.48
24-01-2026,POONDI,3171.09
25-01-2026,POONDI,3170.79
26-01-2026,POONDI,3162.6
27-01-2026,POONDI,3158.65
28-01-2026,POONDI,3151.27
29-01-2026,POONDI,3141.36
30-01-2026,POONDI,3142.99
31-01-2026,POONDI,3149.54
01-02-2026,POONDI,3139.54
02-02-2026,POONDI,3139.36
03-02-2026,POONDI,3133.11
04-02-2026,POONDI,3127.67
05-02-2026,POONDI,3121.71
06-02-2026,POONDI,3114.39
07-02-2026,POONDI,3111.63
08-02-2026,POONDI,3104.48
09-02-2026,POONDI,3102.83
10-02-2026,POONDI,3099.58
11-02-2026,POONDI,3095.38
12-02-2026,POONDI,3087.84
13-02-2026,POONDI,3081.96
14-02-2026,POONDI,3082.74
15-02-2026,POONDI,3082.24
16-02-2026,POONDI,3074.35
17-02-2026,POONDI,3071.85
18-02-2026,POONDI,3072.61
19-02-2026,POONDI,3061.26
20-02-2026,POONDI,3060.98
21-02-2026,POONDI,3054.66
22-02-2026,POONDI,3054.52
23-02-2026,POONDI,3047.7
24-02-2026,POONDI,3035.68
25-02-2026,POONDI,3024.54
26-02-2026,POONDI,3021.78
27-02-2026,POONDI,3020.08
28-02-2026,POONDI,3012.56
01-03-2026,POONDI,3012.75
02-03-2026,POONDI,3001.44
03-03-2026,POONDI,2998.11
04-03-2026,POONDI,2989.06
05-03-2026,POONDI,2982.8
06-03-2026,POONDI,2980.03
07-03-2026,POONDI,2972.73
08-03-2026,POONDI,2967.81
09-03-2026,POONDI,2969.84
10-03-2026,POONDI,2963.96
11-03-2026,POONDI,2965.13
12-03-2026,POONDI,2956.49
13-03-2026,POONDI,2956.13
14-03-2026,POONDI,2960.34
15-03-2026,POONDI,2944.98
16-03-2026,POONDI,2938.0
17-03-2026,POONDI,2937.89
18-03-2026,POONDI,2933.87
19-03-2026,POONDI,2932.73
20-03-2026,POONDI,2926.71
21-03-2026,POONDI,2924.14
22-03-2026,POONDI,2920.36
23-03-2026,POONDI,2923.2
24-03-2026,POONDI,2921.47
25-03-2026,POONDI,2920.16
26-03-2026,POONDI,2915.1
27-03-2026,POONDI,2909.66
28-03-2026,POONDI,2904.5
29-03-2026,POONDI,2903.47
30-03-2026,POONDI,2898.37
31-03-2026,POONDI,2896.82
01-04-2026,POONDI,2904.19
02-04-2026,POONDI,2905.55
03-04-2026,POONDI,2900.92
04-04-2026,POONDI,2903.92
05-04-2026,POONDI,2898.88
06-04-2026,POONDI,2885.69
07-04-2026,POONDI,2877.65
08-04-2026,POONDI,2865.3
09-04-2026,POONDI,2860.54
10-04-2026,POONDI,2857.63
11-04-2026,POONDI,2863.02
12-04-2026,POONDI,2861.65
13-04-2026,POONDI,2857.55
14-04-2026,POONDI,2858.7
15-04-2026,POONDI,2844.65
16-04-2026,POONDI,2842.82
17-04-2026,POONDI,2843.68
18-04-2026,POONDI,2833.29
19-04-2026,POONDI,2836.0
20-04-2026,POONDI,2834.7
21-04-2026,POONDI,2829.62
22-04-2026,POONDI,2829.78
23-04-2026,POONDI,2838.14
24-04-2026,POONDI,2836.05
25-04-2026,POONDI,2834.29
26-04-2026,POONDI,2828.99
27-04-2026,POONDI,2821.74
28-04-2026,POONDI,2822.89
29-04-2026,POONDI,2815.61
30-04-2026,POONDI,2812.97
01-05-2026,POONDI,2807.58
02-05-2026,POONDI,2806.98
03-05-2026,POONDI,2805.65
04-05-2026,POONDI,2807.83
05-05-2026,POONDI,2802.28
06-05-2026,POONDI,2797.93
07-05-2026,POONDI,2790.04
08-05-2026,POONDI,2784.82
09-05-2026,POONDI,2783.71
10-05-2026,POONDI,2784.49
11-05-2026,POONDI,2776.88
12-05-2026,POONDI,2778.23
13-05-2026,POONDI,2782.01
14-05-2026,POONDI,2781.07
15-05-2026,POONDI,2787.46
16-05-2026,POONDI,2780.59
17-05-2026,POONDI,2771.36
18-05-2026,POONDI,2759.47
19-05-2026,POONDI,2763.95
20-05-2026,POONDI,2764.22
21-05-2026,POONDI,2760.95
22-05-2026,POONDI,2759.35
23-05-2026,POONDI,2750.72
24-05-2026,POONDI,2759.95
25-05-2026,POONDI,2757.59
26-05-2026,POONDI,2755.14
27-05-2026,POONDI,2755.77
28-05-2026,POONDI,2755.17
29-05-2026,POONDI,2753.29
30-05-2026,POONDI,2746.34
31-05-2026,POONDI,2745.7
01-06-2026,POONDI,2752.11
02-06-2026,POONDI,2755.84
03-06-2026,POONDI,2760.8
04-06-2026,POONDI,2755.24
05-06-2026,POONDI,2747.3
06-06-2026,POONDI,2743.67
07-06-2026,POONDI,2740.95
08-06-2026,POONDI,2743.42
09-06-2026,POONDI,2731.96
10-06-2026,POONDI,2736.6
11-06-2026,POONDI,2732.81
12-06-2026,POONDI,2727.68
13-06-2026,POONDI,2719.62
14-06-2026,POONDI,2708.34
15-06-2026,POONDI,2709.46
16-06-2026,POONDI,2706.83
17-06-2026,POONDI,2697.38
18-06-2026,POONDI,2687.9
19-06-2026,POONDI,2683.22
20-06-2026,POONDI,2688.57
21-06-2026,POONDI,2684.27
22-06-2026,POONDI,2673.75
23-06-2026,POONDI,2669.52
24-06-2026,POONDI,2665.16
25-06-2026,POONDI,2648.68
26-06-2026,POONDI,2645.41
27-06-2026,POONDI,2641.25
28-06-2026,POONDI,2641.73
29-06-2026,POONDI,2647.98
30-06-2026,POONDI,2650.61
01-07-2026,POONDI,2646.26
02-07-2026,POONDI,2637.73
03-07-2026,POONDI,2647.6
04-07-2026,POONDI,2644.89
05-07-2026,POONDI,2641.96
06-07-2026,POONDI,2638.84
07-07-2026,POONDI,2636.83
08-07-2026,POONDI,2633.11
09-07-2026,POONDI,2627.24
10-07-2026,POONDI,2621.51
11-07-2026,POONDI,2618.35
12-07-2026,POONDI,2612.63
13-07-2026,POONDI,2606.06
14-07-2026,POONDI,2603.6
15-07-2026,POONDI,2599.32
16-07-2026,POONDI,2603.84
17-07-2026,POONDI,2587.59
18-07-2026,POONDI,2590.04
19-07-2026,POONDI,2593.28
20-07-2026,POONDI,2579.91
21-07-2026,POONDI,2575.19
22-07-2026,POONDI,2570.34
23-07-2026,POONDI,2560.3
24-07-2026,POONDI,2553.41
25-07-2026,POONDI,2544.86
26-07-2026,POONDI,2550.62
27-07-2026,POONDI,2552.3
28-07-2026,POONDI,2555.66
29-07-2026,POONDI,2556.26
30-07-2026,POONDI,2547.62
31-07-2026,POONDI,2542.0
01-08-2026,POONDI,2541.44
02-08-2026,POONDI,2532.33
03-08-2026,POONDI,2532.9
04-08-2026,POONDI,2528.7
05-08-2026,POONDI,2523.82
06-08-2026,POONDI,2524.38
07-08-2026,POONDI,2523.6
08-08-2026,POONDI,2518.79
09-08-2026,POONDI,2521.59
10-08-2026,POONDI,2513.18
11-08-2026,POONDI,2513.26
12-08-2026,POONDI,2513.23
13-08-2026,POONDI,2508.68
14-08-2026,POONDI,2507.31
15-08-2026,POONDI,2498.06
16-08-2026,POONDI,2499.68
17-08-2026,POONDI,2495.75
18-08-2026,POONDI,2490.14
19-08-2026,POONDI,2492.38
20-08-2026,POONDI,2485.86
21-08-2026,POONDI,2475.82
22-08-2026,POONDI,2465.04
23-08-2026,POONDI,2465.07
24-08-2026,POONDI,2455.66
25-08-2026,POONDI,2461.44
26-08-2026,POONDI,2448.03
27-08-2026,POONDI,2453.51
28-08-2026,POONDI,2451.57
29-08-2026,POONDI,2448.08
30-08-2026,POONDI,2442.36
31-08-2026,POONDI,2441.35
01-09-2026,POONDI,2438.17
02-09-2026,POONDI,2440.68
03-09-2026,POONDI,2438.25
04-09-2026,POONDI,2436.0
05-09-2026,POONDI,2431.19
06-09-2026,POONDI,2427.9
07-09-2026,POONDI,2426.44
08-09-2026,POONDI,2414.89
09-09-2026,POONDI,2405.15
10-09-2026,POONDI,2405.87
11-09-2026,POONDI,2403.72
12-09-2026,POONDI,2399.8
13-09-2026,POONDI,2396.89
14-09-2026,POONDI,2395.63
15-09-2026,POONDI,2389.93
16-09-2026,POONDI,2383.04
17-09-2024,CHOLAVARAM,646.58
18-09-2024,CHOLAVARAM,638.69
19-09-2024,CHOLAVARAM,637.73
20-09-2024,CHOLAVARAM,626.22
21-09-2024,CHOLAVARAM,628.36
22-09-2024,CHOLAVARAM,627.72
23-09-2024,CHOLAVARAM,626.0
24-09-2024,CHOLAVARAM,627.92
25-09-2024,CHOLAVARAM,633.25
26-09-2024,CHOLAVARAM,635.32
27-09-2024,CHOLAVARAM,623.11
28-09-2024,CHOLAVARAM,613.72
29-09-2024,CHOLAVARAM,607.59
30-09-2024,CHOLAVARAM,604.72
01-10-2024,CHOLAVARAM,622.31
02-10-2024,CHOLAVARAM,633.68
03-10-2024,CHOLAVARAM,649.61
04-10-2024,CHOLAVARAM,660.84
05-10-2024,CHOLAVARAM,672.78
06-10-2024,CHOLAVARAM,680.75
07-10-2024,CHOLAVARAM,691.13
08-10-2024,CHOLAVARAM,699.37
09-10-2024,CHOLAVARAM,709.49
10-10-2024,CHOLAVARAM,729.76
11-10-2024,CHOLAVARAM,740.01
12-10-2024,CHOLAVARAM,768.18
13-10-2024,CHOLAVARAM,785.64
14-10-2024,CHOLAVARAM,801.57
15-10-2024,CHOLAVARAM,812.28
16-10-2024,CHOLAVARAM,830.78
17-10-2024,CHOLAVARAM,842.9
18-10-2024,CHOLAVARAM,858.51
19-10-2024,CHOLAVARAM,886.31
20-10-2024,CHOLAVARAM,900.83
21-10-2024,CHOLAVARAM,921.58
22-10-2024,CHOLAVARAM,933.06
23-10-2024,CHOLAVARAM,947.88
24-10-2024,CHOLAVARAM,971.74
25-10-2024,CHOLAVARAM,983.6
26-10-2024,CHOLAVARAM,1007.67
27-10-2024,CHOLAVARAM,1026.2
28-10-2024,CHOLAVARAM,1038.39
29-10-2024,CHOLAVARAM,1056.55
30-10-2024,CHOLAVARAM,1076.42
31-10-2024,CHOLAVARAM,1081.0
01-11-2024,CHOLAVARAM,1081.0
02-11-2024,CHOLAVARAM,1081.0
03-11-2024,CHOLAVARAM,1081.0
04-11-2024,CHOLAVARAM,1081.0
05-11-2024,CHOLAVARAM,1081.0
06-11-2024,CHOLAVARAM,1081.0
07-11-2024,CHOLAVARAM,1081.0
08-11-2024,CHOLAVARAM,1081.0
09-11-2024,CHOLAVARAM,1081.0
10-11-2024,CHOLAVARAM,1081.0
11-11-2024,CHOLAVARAM,1081.0
12-11-2024,CHOLAVARAM,1081.0
13-11-2024,CHOLAVARAM,1081.0
14-11-2024,CHOLAVARAM,1081.0
15-11-2024,CHOLAVARAM,1081.0
16-11-2024,CHOLAVARAM,1081.0
17-11-2024,CHOLAVARAM,1081.0
18-11-2024,CHOLAVARAM,1081.0
19-11-2024,CHOLAVARAM,1081.0
20-11-2024,CHOLAVARAM,1081.0
21-11-2024,CHOLAVARAM,1081.0
22-11-2024,CHOLAVARAM,1081.0
23-11-2024,CHOLAVARAM,1081.0
24-11-2024,CHOLAVARAM,1081.0
25-11-2024,CHOLAVARAM,1081.0
26-11-2024,CHOLAVARAM,1081.0
27-11-2024,CHOLAVARAM,1081.0
